Sample in Buffer,Sample in Window,TRIGGER,uav_sar_i/zynq_ultra_pl_clk_out1,uav_sar_i/zynq_ultra_pl_uart_rx_done,uav_sar_i/zynq_ultra_pl_utc_done,uav_sar_i/zynq_ultra_pl_uart_rx_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,ASCII
0,0,0,1,0,0,"C"
1,1,0,0,0,0,"C"
2,2,0,1,0,0,"C"
3,3,0,0,0,0,"C"
4,4,0,1,0,0,"C"
5,5,0,0,0,0,"C"
6,6,0,1,0,0,"C"
7,7,0,0,0,0,"C"
8,8,0,1,0,0,"C"
9,9,0,0,0,0,"C"
10,10,0,1,0,0,"C"
11,11,0,0,0,0,"C"
12,12,0,1,0,0,"C"
13,13,0,0,0,0,"C"
14,14,0,1,0,0,"C"
15,15,0,0,0,0,"C"
16,16,0,1,0,0,"C"
17,17,0,0,0,0,"C"
18,18,0,1,0,0,"C"
19,19,0,0,0,0,"C"
20,20,0,1,0,0,"C"
21,21,0,0,0,0,"C"
22,22,0,1,0,0,"C"
23,23,0,0,0,0,"C"
24,24,0,1,0,0,"C"
25,25,0,0,0,0,"C"
26,26,0,1,0,0,"C"
27,27,0,0,0,0,"C"
28,28,0,1,0,0,"C"
29,29,0,0,0,0,"C"
30,30,0,1,0,0,"C"
31,31,0,0,0,0,"C"
32,32,0,1,0,0,"C"
33,33,0,0,0,0,"C"
34,34,0,1,0,0,"C"
35,35,0,0,0,0,"C"
36,36,0,1,0,0,"C"
37,37,0,0,0,0,"C"
38,38,0,1,0,0,"C"
39,39,0,0,0,0,"C"
40,40,0,1,0,0,"C"
41,41,0,0,0,0,"C"
42,42,0,1,0,0,"C"
43,43,0,0,0,0,"C"
44,44,0,1,0,0,"C"
45,45,0,0,0,0,"C"
46,46,0,1,0,0,"C"
47,47,0,0,0,0,"C"
48,48,0,1,0,0,"C"
49,49,0,0,0,0,"C"
50,50,0,1,0,0,"C"
51,51,0,0,0,0,"C"
52,52,0,1,0,0,"C"
53,53,0,0,0,0,"C"
54,54,0,1,0,0,"C"
55,55,0,0,0,0,"C"
56,56,0,1,0,0,"C"
57,57,0,0,0,0,"C"
58,58,0,1,0,0,"C"
59,59,0,0,0,0,"C"
60,60,0,1,0,0,"C"
61,61,0,0,0,0,"C"
62,62,0,1,0,0,"C"
63,63,0,0,0,0,"C"
64,64,0,1,0,0,"C"
65,65,0,0,0,0,"C"
66,66,0,1,0,0,"C"
67,67,0,0,0,0,"C"
68,68,0,1,0,0,"C"
69,69,0,0,0,0,"C"
70,70,0,1,0,0,"C"
71,71,0,0,0,0,"C"
72,72,0,1,0,0,"C"
73,73,0,0,0,0,"C"
74,74,0,1,0,0,"C"
75,75,0,0,0,0,"C"
76,76,0,1,0,0,"C"
77,77,0,0,0,0,"C"
78,78,0,1,0,0,"C"
79,79,0,0,0,0,"C"
80,80,0,1,0,0,"C"
81,81,0,0,0,0,"C"
82,82,0,1,0,0,"C"
83,83,0,0,0,0,"C"
84,84,0,1,0,0,"C"
85,85,0,0,0,0,"C"
86,86,0,1,0,0,"C"
87,87,0,0,0,0,"C"
88,88,0,1,0,0,"C"
89,89,0,0,0,0,"C"
90,90,0,1,0,0,"C"
91,91,0,0,0,0,"C"
92,92,0,1,0,0,"C"
93,93,0,0,0,0,"C"
94,94,0,1,0,0,"C"
95,95,0,0,0,0,"C"
96,96,0,1,0,0,"C"
97,97,0,0,0,0,"C"
98,98,0,1,0,0,"C"
99,99,0,0,0,0,"C"
100,100,0,1,0,0,"C"
101,101,0,0,0,0,"C"
102,102,0,1,0,0,"C"
103,103,0,0,0,0,"C"
104,104,0,1,0,0,"C"
105,105,0,0,0,0,"C"
106,106,0,1,0,0,"C"
107,107,0,0,0,0,"C"
108,108,0,1,0,0,"C"
109,109,0,0,0,0,"C"
110,110,0,1,0,0,"C"
111,111,0,0,0,0,"C"
112,112,0,1,0,0,"C"
113,113,0,0,0,0,"C"
114,114,0,1,0,0,"C"
115,115,0,0,0,0,"C"
116,116,0,1,0,0,"C"
117,117,0,0,0,0,"C"
118,118,0,1,0,0,"C"
119,119,0,0,0,0,"C"
120,120,0,1,0,0,"C"
121,121,0,0,0,0,"C"
122,122,0,1,0,0,"C"
123,123,0,0,0,0,"C"
124,124,0,1,0,0,"C"
125,125,0,0,0,0,"C"
126,126,0,1,0,0,"C"
127,127,0,0,0,0,"C"
128,128,0,1,0,0,"C"
129,129,0,0,0,0,"C"
130,130,0,1,0,0,"C"
131,131,0,0,0,0,"C"
132,132,0,1,0,0,"C"
133,133,0,0,0,0,"C"
134,134,0,1,0,0,"C"
135,135,0,0,0,0,"C"
136,136,0,1,0,0,"C"
137,137,0,0,0,0,"C"
138,138,0,1,0,0,"C"
139,139,0,0,0,0,"C"
140,140,0,1,0,0,"C"
141,141,0,0,0,0,"C"
142,142,0,1,0,0,"C"
143,143,0,0,0,0,"C"
144,144,0,1,0,0,"C"
145,145,0,0,0,0,"C"
146,146,0,1,0,0,"C"
147,147,0,0,0,0,"C"
148,148,0,1,0,0,"C"
149,149,0,0,0,0,"C"
150,150,0,1,0,0,"C"
151,151,0,0,0,0,"C"
152,152,0,1,0,0,"C"
153,153,0,0,0,0,"C"
154,154,0,1,0,0,"C"
155,155,0,0,0,0,"C"
156,156,0,1,0,0,"C"
157,157,0,0,0,0,"C"
158,158,0,1,0,0,"C"
159,159,0,0,0,0,"C"
160,160,0,1,0,0,"C"
161,161,0,0,0,0,"C"
162,162,0,1,0,0,"C"
163,163,0,0,0,0,"C"
164,164,0,1,0,0,"C"
165,165,0,0,0,0,"C"
166,166,0,1,0,0,"C"
167,167,0,0,0,0,"C"
168,168,0,1,0,0,"C"
169,169,0,0,0,0,"C"
170,170,0,1,0,0,"C"
171,171,0,0,0,0,"C"
172,172,0,1,0,0,"C"
173,173,0,0,0,0,"C"
174,174,0,1,0,0,"C"
175,175,0,0,0,0,"C"
176,176,0,1,0,0,"C"
177,177,0,0,0,0,"C"
178,178,0,1,0,0,"C"
179,179,0,0,0,0,"C"
180,180,0,1,0,0,"C"
181,181,0,0,0,0,"C"
182,182,0,1,0,0,"C"
183,183,0,0,0,0,"C"
184,184,0,1,0,0,"C"
185,185,0,0,0,0,"C"
186,186,0,1,0,0,"C"
187,187,0,0,0,0,"C"
188,188,0,1,0,0,"C"
189,189,0,0,0,0,"C"
190,190,0,1,0,0,"C"
191,191,0,0,0,0,"C"
192,192,0,1,0,0,"C"
193,193,0,0,0,0,"C"
194,194,0,1,0,0,"C"
195,195,0,0,0,0,"C"
196,196,0,1,0,0,"C"
197,197,0,0,0,0,"C"
198,198,0,1,0,0,"C"
199,199,0,0,0,0,"C"
200,200,0,1,0,0,"C"
201,201,0,0,0,0,"C"
202,202,0,1,0,0,"C"
203,203,0,0,0,0,"C"
204,204,0,1,0,0,"C"
205,205,0,0,0,0,"C"
206,206,0,1,0,0,"C"
207,207,0,0,0,0,"C"
208,208,0,1,0,0,"C"
209,209,0,0,0,0,"C"
210,210,0,1,0,0,"C"
211,211,0,0,0,0,"C"
212,212,0,1,0,0,"C"
213,213,0,0,0,0,"C"
214,214,0,1,0,0,"C"
215,215,0,0,0,0,"C"
216,216,0,1,0,0,"C"
217,217,0,0,0,0,"C"
218,218,0,1,0,0,"C"
219,219,0,0,0,0,"C"
220,220,0,1,0,0,"C"
221,221,0,0,0,0,"C"
222,222,0,1,0,0,"C"
223,223,0,0,0,0,"C"
224,224,0,1,0,0,"C"
225,225,0,0,0,0,"C"
226,226,0,1,0,0,"C"
227,227,0,0,0,0,"C"
228,228,0,1,0,0,"C"
229,229,0,0,0,0,"C"
230,230,0,1,0,0,"C"
231,231,0,0,0,0,"C"
232,232,0,1,0,0,"C"
233,233,0,0,0,0,"C"
234,234,0,1,0,0,"C"
235,235,0,0,0,0,"C"
236,236,0,1,0,0,"C"
237,237,0,0,0,0,"C"
238,238,0,1,0,0,"C"
239,239,0,0,0,0,"C"
240,240,0,1,0,0,"C"
241,241,0,0,0,0,"C"
242,242,0,1,0,0,"C"
243,243,0,0,0,0,"C"
244,244,0,1,0,0,"C"
245,245,0,0,0,0,"C"
246,246,0,1,0,0,"C"
247,247,0,0,0,0,"C"
248,248,0,1,0,0,"C"
249,249,0,0,0,0,"C"
250,250,0,1,0,0,"C"
251,251,0,0,0,0,"C"
252,252,0,1,0,0,"C"
253,253,0,0,0,0,"C"
254,254,0,1,0,0,"C"
255,255,0,0,0,0,"C"
256,256,0,1,0,0,"C"
257,257,0,0,0,0,"C"
258,258,0,1,0,0,"C"
259,259,0,0,0,0,"C"
260,260,0,1,0,0,"C"
261,261,0,0,0,0,"C"
262,262,0,1,0,0,"C"
263,263,0,0,0,0,"C"
264,264,0,1,0,0,"C"
265,265,0,0,0,0,"C"
266,266,0,1,0,0,"C"
267,267,0,0,0,0,"C"
268,268,0,1,0,0,"C"
269,269,0,0,0,0,"C"
270,270,0,1,0,0,"C"
271,271,0,0,0,0,"C"
272,272,0,1,0,0,"C"
273,273,0,0,0,0,"C"
274,274,0,1,0,0,"C"
275,275,0,0,0,0,"C"
276,276,0,1,0,0,"C"
277,277,0,0,0,0,"C"
278,278,0,1,0,0,"C"
279,279,0,0,0,0,"C"
280,280,0,1,0,0,"C"
281,281,0,0,0,0,"C"
282,282,0,1,0,0,"C"
283,283,0,0,0,0,"C"
284,284,0,1,0,0,"C"
285,285,0,0,0,0,"C"
286,286,0,1,0,0,"C"
287,287,0,0,0,0,"C"
288,288,0,1,0,0,"C"
289,289,0,0,0,0,"C"
290,290,0,1,0,0,"C"
291,291,0,0,0,0,"C"
292,292,0,1,0,0,"C"
293,293,0,0,0,0,"C"
294,294,0,1,0,0,"C"
295,295,0,0,0,0,"C"
296,296,0,1,0,0,"C"
297,297,0,0,0,0,"C"
298,298,0,1,0,0,"C"
299,299,0,0,0,0,"C"
300,300,0,1,0,0,"C"
301,301,0,0,0,0,"C"
302,302,0,1,0,0,"C"
303,303,0,0,0,0,"C"
304,304,0,1,0,0,"C"
305,305,0,0,0,0,"C"
306,306,0,1,0,0,"C"
307,307,0,0,0,0,"C"
308,308,0,1,0,0,"C"
309,309,0,0,0,0,"C"
310,310,0,1,0,0,"C"
311,311,0,0,0,0,"C"
312,312,0,1,0,0,"C"
313,313,0,0,0,0,"C"
314,314,0,1,0,0,"C"
315,315,0,0,0,0,"C"
316,316,0,1,0,0,"C"
317,317,0,0,0,0,"C"
318,318,0,1,0,0,"C"
319,319,0,0,0,0,"C"
320,320,0,1,0,0,"C"
321,321,0,0,0,0,"C"
322,322,0,1,0,0,"C"
323,323,0,0,0,0,"C"
324,324,0,1,0,0,"C"
325,325,0,0,0,0,"C"
326,326,0,1,0,0,"C"
327,327,0,0,0,0,"C"
328,328,0,1,0,0,"C"
329,329,0,0,0,0,"C"
330,330,0,1,0,0,"C"
331,331,0,0,0,0,"C"
332,332,0,1,0,0,"C"
333,333,0,0,0,0,"C"
334,334,0,1,0,0,"C"
335,335,0,0,0,0,"C"
336,336,0,1,0,0,"C"
337,337,0,0,0,0,"C"
338,338,0,1,0,0,"C"
339,339,0,0,0,0,"C"
340,340,0,1,0,0,"C"
341,341,0,0,0,0,"C"
342,342,0,1,0,0,"C"
343,343,0,0,0,0,"C"
344,344,0,1,0,0,"C"
345,345,0,0,0,0,"C"
346,346,0,1,0,0,"C"
347,347,0,0,0,0,"C"
348,348,0,1,0,0,"C"
349,349,0,0,0,0,"C"
350,350,0,1,0,0,"C"
351,351,0,0,0,0,"C"
352,352,0,1,0,0,"C"
353,353,0,0,0,0,"C"
354,354,0,1,0,0,"C"
355,355,0,0,0,0,"C"
356,356,0,1,0,0,"C"
357,357,0,0,0,0,"C"
358,358,0,1,0,0,"C"
359,359,0,0,0,0,"C"
360,360,0,1,0,0,"C"
361,361,0,0,0,0,"C"
362,362,0,1,0,0,"C"
363,363,0,0,0,0,"C"
364,364,0,1,0,0,"C"
365,365,0,0,0,0,"C"
366,366,0,1,0,0,"C"
367,367,0,0,0,0,"C"
368,368,0,1,0,0,"C"
369,369,0,0,0,0,"C"
370,370,0,1,0,0,"C"
371,371,0,0,0,0,"C"
372,372,0,1,0,0,"C"
373,373,0,0,0,0,"C"
374,374,0,1,0,0,"C"
375,375,0,0,0,0,"C"
376,376,0,1,0,0,"C"
377,377,0,0,0,0,"C"
378,378,0,1,0,0,"C"
379,379,0,0,0,0,"C"
380,380,0,1,0,0,"C"
381,381,0,0,0,0,"C"
382,382,0,1,0,0,"C"
383,383,0,0,0,0,"C"
384,384,0,1,0,0,"C"
385,385,0,0,0,0,"C"
386,386,0,1,0,0,"C"
387,387,0,0,0,0,"C"
388,388,0,1,0,0,"C"
389,389,0,0,0,0,"C"
390,390,0,1,0,0,"C"
391,391,0,0,0,0,"C"
392,392,0,1,0,0,"C"
393,393,0,0,0,0,"C"
394,394,0,1,0,0,"C"
395,395,0,0,0,0,"C"
396,396,0,1,0,0,"C"
397,397,0,0,0,0,"C"
398,398,0,1,0,0,"C"
399,399,0,0,0,0,"C"
400,400,0,1,0,0,"C"
401,401,0,0,0,0,"C"
402,402,0,1,0,0,"C"
403,403,0,0,0,0,"C"
404,404,0,1,0,0,"C"
405,405,0,0,0,0,"C"
406,406,0,1,0,0,"C"
407,407,0,0,0,0,"C"
408,408,0,1,0,0,"C"
409,409,0,0,0,0,"C"
410,410,0,1,0,0,"C"
411,411,0,0,0,0,"C"
412,412,0,1,0,0,"C"
413,413,0,0,0,0,"C"
414,414,0,1,0,0,"C"
415,415,0,0,0,0,"C"
416,416,0,1,0,0,"C"
417,417,0,0,0,0,"C"
418,418,0,1,0,0,"C"
419,419,0,0,0,0,"C"
420,420,0,1,0,0,"C"
421,421,0,0,0,0,"C"
422,422,0,1,0,0,"C"
423,423,0,0,0,0,"C"
424,424,0,1,0,0,"C"
425,425,0,0,0,0,"C"
426,426,0,1,0,0,"C"
427,427,0,0,0,0,"C"
428,428,0,1,0,0,"C"
429,429,0,0,0,0,"C"
430,430,0,1,0,0,"C"
431,431,0,0,0,0,"C"
432,432,0,1,0,0,"C"
433,433,0,0,0,0,"C"
434,434,0,1,0,0,"C"
435,435,0,0,0,0,"C"
436,436,0,1,0,0,"C"
437,437,0,0,0,0,"C"
438,438,0,1,0,0,"C"
439,439,0,0,0,0,"C"
440,440,0,1,0,0,"C"
441,441,0,0,0,0,"C"
442,442,0,1,0,0,"C"
443,443,0,0,0,0,"C"
444,444,0,1,0,0,"C"
445,445,0,0,0,0,"C"
446,446,0,1,0,0,"C"
447,447,0,0,0,0,"C"
448,448,0,1,0,0,"C"
449,449,0,0,0,0,"C"
450,450,0,1,0,0,"C"
451,451,0,0,0,0,"C"
452,452,0,1,0,0,"C"
453,453,0,0,0,0,"C"
454,454,0,1,0,0,"C"
455,455,0,0,0,0,"C"
456,456,0,1,0,0,"C"
457,457,0,0,0,0,"C"
458,458,0,1,0,0,"C"
459,459,0,0,0,0,"C"
460,460,0,1,0,0,"C"
461,461,0,0,0,0,"C"
462,462,0,1,0,0,"C"
463,463,0,0,0,0,"C"
464,464,0,1,0,0,"C"
465,465,0,0,0,0,"C"
466,466,0,1,0,0,"C"
467,467,0,0,0,0,"C"
468,468,0,1,0,0,"C"
469,469,0,0,0,0,"C"
470,470,0,1,0,0,"C"
471,471,0,0,0,0,"C"
